Date,Game,Earnings,Players,Tournaments,ReleaseDate,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade,Genre_Battle Royale,Genre_Collectible Card Game,Genre_Fighting Game,Genre_First-Person Shooter,Genre_Multiplayer Online Battle Arena,Genre_Music / Rhythm Game,Genre_Puzzle Game,Genre_Racing,Genre_Role-Playing Game,Genre_Sports,Genre_Strategy,Genre_Third-Person Shooter,ReleaseYear,Predicted_Earnings
2000-10-01,FIFA 2000,50000.0,4,1,1999-01-01,50000.0,4,1,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,False,False,False,False,False,False,True,False,False,1999,16098.787387851296
2000-10-01,StarCraft: Brood War,50000.0,4,1,1998-01-01,7548789.3,658,536,694.644730234007,300.0,-50.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,26854.756354172896
2000-10-01,Doom II: Hell on Earth,0.0,3,1,1994-01-01,5108.56,14,8,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,True,False,False,False,False,False,False,False,False,1994,8297.889079110151
2000-11-01,StarCraft: Brood War,17600.0,16,1,1998-01-01,7548789.3,658,536,-64.8,300.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,-8757.669366844388
2000-12-01,Quake III Arena,126560.21,79,4,1999-01-01,1197552.96,308,114,68.74694666666667,1480.0,33.33333333333333,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,68292.6553396355
2000-12-01,Counter-Strike,23763.33,62,2,2000-01-01,13596060.66,4264,1023,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,74189.90781186949
2000-12-01,Age of Empires II,165.53,5,2,1999-01-01,3253232.59,1994,1613,-99.66894,25.0,100.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-33267.64024654487
2001-01-01,Quake III Arena,19055.71,12,3,1999-01-01,1197552.96,308,114,-84.94336411104248,-84.81012658227847,-25.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-6690.988942581327
2001-01-01,StarCraft: Brood War,5257.0,7,2,1998-01-01,7548789.3,658,536,-70.13068181818181,-56.25,100.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,28074.385685589798
2001-01-01,Counter-Strike,4720.77,35,1,2000-01-01,13596060.66,4264,1023,-80.13422361259974,-43.548387096774185,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,-926.1393867251256
2001-01-01,Age of Empires II,1200.0,6,2,1999-01-01,3253232.59,1994,1613,624.9441188908355,19.999999999999996,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,22344.583186137643
2001-02-01,Quake III Arena,3750.0,8,1,1999-01-01,1197552.96,308,114,-80.32085920703034,-33.333333333333336,-66.66666666666667,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,5624.441670138836
2001-03-01,Age of Empires II,1641.29,12,5,1999-01-01,3253232.59,1994,1613,36.774166666666666,100.0,150.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-46622.825920672985
2001-04-01,Counter-Strike,43711.29,41,2,2000-01-01,13596060.66,4264,1023,825.9355994890664,17.14285714285715,100.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,106356.37026125383
2001-04-01,Quake III Arena,2272.23,8,3,1999-01-01,1197552.96,308,114,-39.4072,0.0,200.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-8254.193256564236
2001-04-01,Age of Empires II,200.0,1,1,1999-01-01,3253232.59,1994,1613,-87.81446301384887,-91.66666666666666,-80.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-3395.6041550165346
2001-05-01,StarCraft: Brood War,18427.34,16,2,1998-01-01,7548789.3,658,536,250.52957960814152,128.57142857142856,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,47499.09034796709
2001-05-01,Quake III Arena,15841.68,16,2,1999-01-01,1197552.96,308,114,597.1864643984103,100.0,-33.333333333333336,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,25536.00884283596
2001-05-01,Counter-Strike,13131.0,41,1,2000-01-01,13596060.66,4264,1023,-69.95970606220956,0.0,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,11649.32360609171
2001-05-01,Age of Empires II,500.0,1,1,1999-01-01,3253232.59,1994,1613,150.0,0.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,6871.148242722005
2001-06-01,Age of Empires II,500.0,4,1,1999-01-01,3253232.59,1994,1613,0.0,300.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-67921.60594412273
2001-07-01,QuakeWorld,15000.0,8,1,1996-01-01,105351.67,59,17,-50.0,-52.94117647058824,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1996,-13642.138744938155
2001-07-01,Counter-Strike,1800.0,16,2,2000-01-01,13596060.66,4264,1023,-86.29198080877313,-60.97560975609756,100.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,-49854.52868007621
2001-08-01,Quake III Arena,58197.36,3,2,1999-01-01,1197552.96,308,114,267.3686124198949,-81.25,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,35658.357749814975
2001-08-01,Counter-Strike,13197.36,41,1,2000-01-01,13596060.66,4264,1023,633.1866666666667,156.25,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,45543.05974837276
2001-08-01,Age of Empires II,500.0,1,1,1999-01-01,3253232.59,1994,1613,0.0,-75.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-6364.917397283056
2001-08-01,Capcom vs. SNK,0.0,3,1,2000-01-01,140.0,6,2,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,2000,8297.889079110151
2001-08-01,Marvel vs. Capcom 2,0.0,3,1,2000-01-01,39279.73,68,29,778.1566668158872,0.0,0.0,2000,False,False,True,False,False,False,False,False,False,False,False,False,2000,11752.447654206071
2001-08-01,Street Fighter Alpha 3,0.0,3,1,1998-01-01,340.0,16,5,778.1566668158872,0.0,0.0,2000,False,False,True,False,False,False,False,False,False,False,False,False,1998,11752.447654206071
2001-08-01,Super Street Fighter II Turbo,0.0,3,1,1994-01-01,25646.29,114,51,778.1566668158872,0.0,0.0,2000,False,False,True,False,False,False,False,False,False,False,False,False,1994,11752.447654206071
2001-09-01,Counter-Strike,22792.51,41,1,2000-01-01,13596060.66,4264,1023,72.70507131729373,0.0,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,41426.79960103248
2001-09-01,StarCraft: Brood War,14051.52,16,1,1998-01-01,7548789.3,658,536,-23.746346461290667,0.0,-50.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,48397.627058089194
2001-10-01,Quake III Arena,28000.0,15,2,1999-01-01,1197552.96,308,114,-51.88785195754584,400.0,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-19404.846071669694
2001-10-01,Counter-Strike,22000.0,15,2,2000-01-01,13596060.66,4264,1023,-3.4770632984256644,-63.41463414634146,100.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,-32722.449303061352
2001-10-01,StarCraft: Brood War,13057.6,4,1,1998-01-01,7548789.3,658,536,-7.073398465077085,-75.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,46506.8002540769
2001-11-01,Age of Empires II,95000.0,16,1,1999-01-01,3253232.59,1994,1613,18900.0,1500.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,110022.50094493275
2001-11-01,Counter-Strike,5239.51,5,1,2000-01-01,13596060.66,4264,1023,-76.18404545454545,-66.66666666666667,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,-33687.08621107273
2001-11-01,Quake III Arena,2619.76,8,1,1999-01-01,1197552.96,308,114,-90.64371428571428,-46.666666666666664,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-6690.988942581327
2001-12-01,Counter-Strike,220000.0,109,2,2000-01-01,13596060.66,4264,1023,4098.865924485304,2080.0,100.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,10365.918474954182
2001-12-01,Age of Empires II,61000.0,20,5,1999-01-01,3253232.59,1994,1613,-35.78947368421053,25.0,400.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-45114.308822005216
2001-12-01,StarCraft: Brood War,59568.55,24,3,1998-01-01,7548789.3,658,536,356.198305967406,500.0,200.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,33678.066849625626
2001-12-01,FIFA 2001,46000.0,9,2,2000-01-01,46000.0,9,2,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,False,False,False,False,False,False,True,False,False,2000,16098.787387851296
2001-12-01,Quake III Arena,46000.0,8,2,1999-01-01,1197552.96,308,114,1655.8860353620175,0.0,100.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,119751.304792892
2001-12-01,Unreal Tournament,46000.0,9,2,1999-01-01,89000.0,14,5,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,8297.889079110151
2001-12-01,Aliens versus Predator 2,40000.0,1,1,2001-01-01,43500.0,2,2,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,True,False,False,False,False,False,False,False,False,2001,8297.889079110151
2002-01-01,Age of Empires II,1000.0,1,1,1999-01-01,3253232.59,1994,1613,-98.36065573770492,-95.0,-80.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-3395.6041550165346
2002-02-01,Age of Empires II,1000.0,1,1,1999-01-01,3253232.59,1994,1613,0.0,0.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-6364.917397283056
2002-03-01,Counter-Strike,1035.0,17,1,2000-01-01,13596060.66,4264,1023,-99.52954545454546,-84.40366972477065,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,-38548.75489141015
