Date,Game,Earnings,Players,Tournaments,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade
2001-05-01,StarCraft: Brood War,18427.34,16,2,1998-01-01,Strategy,7548789.3,658,536,250.52957960814152,128.57142857142856,0.0,2000
2001-05-01,Quake III Arena,15841.68,16,2,1999-01-01,First-Person Shooter,1197552.96,308,114,597.1864643984103,100.0,-33.333333333333336,2000
2001-05-01,Counter-Strike,13131.0,41,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-69.95970606220956,0.0,-50.0,2000
2001-05-01,Age of Empires II,500.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,150.0,0.0,0.0,2000
2001-06-01,Age of Empires II,500.0,4,1,1999-01-01,Strategy,3253232.59,1994,1613,0.0,300.0,0.0,2000
2001-07-01,QuakeWorld,15000.0,8,1,1996-01-01,First-Person Shooter,105351.67,59,17,-50.0,-52.94117647058824,0.0,2000
2001-07-01,Counter-Strike,1800.0,16,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-86.29198080877313,-60.97560975609756,100.0,2000
2001-08-01,Quake III Arena,58197.36,3,2,1999-01-01,First-Person Shooter,1197552.96,308,114,267.3686124198949,-81.25,0.0,2000
2001-08-01,Counter-Strike,13197.36,41,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,633.1866666666667,156.25,-50.0,2000
2001-08-01,Age of Empires II,500.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,0.0,-75.0,0.0,2000
2001-08-01,Capcom vs. SNK,0.0,3,1,2000-01-01,Fighting Game,140.0,6,2,,,,2000
2001-08-01,Marvel vs. Capcom 2,0.0,3,1,2000-01-01,Fighting Game,39279.73,68,29,,0.0,0.0,2000
2001-08-01,Street Fighter Alpha 3,0.0,3,1,1998-01-01,Fighting Game,340.0,16,5,,0.0,0.0,2000
2001-08-01,Super Street Fighter II Turbo,0.0,3,1,1994-01-01,Fighting Game,25646.29,114,51,,0.0,0.0,2000
2001-09-01,Counter-Strike,22792.51,41,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,72.70507131729373,0.0,0.0,2000
2001-09-01,StarCraft: Brood War,14051.52,16,1,1998-01-01,Strategy,7548789.3,658,536,-23.746346461290667,0.0,-50.0,2000
2001-10-01,Quake III Arena,28000.0,15,2,1999-01-01,First-Person Shooter,1197552.96,308,114,-51.88785195754584,400.0,0.0,2000
2001-10-01,Counter-Strike,22000.0,15,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-3.4770632984256644,-63.41463414634146,100.0,2000
2001-10-01,StarCraft: Brood War,13057.6,4,1,1998-01-01,Strategy,7548789.3,658,536,-7.073398465077085,-75.0,0.0,2000
2001-11-01,Age of Empires II,95000.0,16,1,1999-01-01,Strategy,3253232.59,1994,1613,18900.0,1500.0,0.0,2000
2001-11-01,Counter-Strike,5239.51,5,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-76.18404545454545,-66.66666666666667,-50.0,2000
