Game,Genre,Earnings,Players,Tournaments,TotalPlayers,TotalTournaments
Minecraft,Multiplayer Online Battle Arena,6.228410575647231e-05,0.0029086678301337987,0.005847953216374269,0.033370206489675515,0.013942573163997793
Team Fortress 2,First-Person Shooter,6.128756006436874e-05,0.013961605584642232,0.0,0.08966322517207473,0.028299282164549976
Lichess,Strategy,4.982728460517784e-05,0.005235602094240837,0.005847953216374269,0.02126352015732547,0.02429596907785754
Mortal Kombat 11,Fighting Game,3.811787272296105e-05,0.004653868528214078,0.0,0.014319075712881024,0.008282716731087799
Mario Kart 8 Deluxe,Racing,3.737046345388338e-05,0.006980802792321116,0.005847953216374269,0.0029498525073746312,0.0011043622308117063
Quake Champions,First-Person Shooter,3.4934407509536235e-05,0.004653868528214078,0.005847953216374269,0.01935840707964602,0.038928768636112644
Killer Instinct (2013),Fighting Game,3.32990760287943e-05,0.004653868528214078,0.0,0.008112094395280236,0.007730535615681944
Street Fighter III: 3rd Strike,Fighting Game,2.815241580192548e-05,0.004653868528214078,0.0,0.006637168141592921,0.006073992269464385
osu!,Music / Rhythm Game,2.6947342923749257e-05,0.01977894124490983,0.023391812865497075,0.052482792527040315,0.028161236885698514
Windjammers 2,Fighting Game,2.631055022649508e-05,0.001745200698080279,0.3216374269005848,0.00018436578171091445,0.007592490336830481
Auto Chess,Strategy,2.491364230258892e-05,0.002326934264107039,0.0,0.008173549655850541,0.007040309221424628
Contractors,First-Person Shooter,2.491364230258892e-05,0.011634671320535195,0.0,0.0012291052114060965,0.0
Gears 5,Third-Person Shooter,2.491364230258892e-05,0.004653868528214078,0.005847953216374269,0.010017207472959685,0.015323025952512427
Lemnis Gate,First-Person Shooter,2.491364230258892e-05,0.0011634671320535194,0.0,0.0003687315634218289,0.0005521811154058532
Age of Mythology,Strategy,2.354339197594653e-05,0.008144269924374637,0.023391812865497075,0.013335791543756146,0.0353395913859746
rFactor 2,Racing,1.86603180846391e-05,0.001745200698080279,0.0,0.034107669616519176,0.013942573163997793
iRacing.com,Racing,1.245682115129446e-05,0.0005817335660267597,0.0,0.07884709931170109,0.025400331308669248
Blaston,First-Person Shooter,8.719774805906123e-06,0.001745200698080279,0.0,0.0016592920353982303,0.002898950855880729
Age of Empires III,Strategy,2.7405006532847814e-06,0.002326934264107039,0.0,0.0102015732546706,0.022363335173937054
Age of Empires Online,Strategy,1.7439549611812245e-06,0.0005817335660267597,0.0,0.002704031465093412,0.0067642186637217015
Counter-Strike: Global Offensive,First-Person Shooter,0.05404615655737906,0.4461896451425247,0.26900584795321636,1.0,0.9504417448923248
VALORANT,First-Person Shooter,0.02228527795330809,0.3775450843513671,0.1286549707602339,0.3989060963618486,0.15640530093870791
Call of Duty: Vanguard,First-Person Shooter,0.015845076504446554,0.06980802792321117,0.07017543859649122,0.016039823008849558,0.012424075096631697
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,Battle Royale,0.013701008447885752,0.08609656777196044,0.011695906432748537,0.23014995083579157,0.08172280508006627
Rocket League,Sports,0.011218599177216102,0.2844677137870855,0.3391812865497076,0.24244100294985252,0.5070403092214247
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,0.01090411651265833,0.10762070971495055,0.023391812865497075,0.23604965585054083,0.03906681391496411
Call of Duty: Mobile,First-Person Shooter,0.010485354808605993,0.02443280977312391,0.0,0.019972959685349068,0.0027609055770292656
Fortnite,Battle Royale,0.009384769746246826,0.17510180337405468,0.11695906432748537,0.4805186823992134,0.23937051352843733
Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,0.009180042388898147,0.0651541593949971,0.011695906432748537,0.10723942969518191,0.01587520706791828
Overwatch 2,First-Person Shooter,0.008221501959854344,0.03781268179173938,0.005847953216374269,0.057952310717797446,0.012009939260077308
World of WarCraft,Role-Playing Game,0.007972365536828455,0.025596276905177427,0.005847953216374269,0.02992871189773845,0.027747101049144123
FIFA 22,Sports,0.0072812782897678265,0.04653868528214078,0.05263157894736842,0.022984267453294002,0.00883489784649365
NBA 2K22,Sports,0.00622841057564723,0.02326934264107039,0.0,0.005653883972468044,0.0008282716731087799
iRacing.com,Racing,0.00520575538641056,0.027341477603257707,0.023391812865497075,0.07884709931170109,0.025400331308669248
Pokemon Unite,Multiplayer Online Battle Arena,0.0050823830297281394,0.09365910413030831,0.029239766081871343,0.02028023598820059,0.001932633903920486
StarCraft II,Strategy,0.004184166002791595,0.05351948807446189,0.18128654970760233,0.13600049164208458,1.0
Brawlhalla,Fighting Game,0.0037495031665396327,0.029086678301337987,0.04093567251461988,0.0522369714847591,0.09180011043622309
