Game,Genre,Earnings,Players,Tournaments,TotalPlayers,TotalTournaments
Hearthstone,Collectible Card Game,0.003185945864788881,0.03723094822571262,0.04093567251461988,0.1887291052114061,0.15502484815019327
Age of Empires II,Strategy,3.2585549313248155e-05,0.004653868528214078,0.0,0.12254178957718781,0.22252898950855882
Chess.com,Strategy,3.487909922362449e-05,0.0029086678301337987,0.0,0.06366764995083579,0.0831032578685809
Melty Blood: Type Lumina,Fighting Game,5.876629946334674e-06,0.001745200698080279,0.0,0.0029498525073746312,0.0015184980673660963
NASCAR Thunder 2003,Racing,0.00014782509660241135,0.0,0.0,0.0,0.0
WarCraft III: Reforged,Strategy,0.00084569433537065,0.02326934264107039,0.04678362573099415,0.00915683382497542,0.06639977912755385
Call of Duty 4: Modern Warfare,First-Person Shooter,6.73497966458577e-05,0.0,0.0,0.026487217305801378,0.011871893981225843
CrossFire,First-Person Shooter,0.003658319235712157,0.029086678301337987,0.005847953216374269,0.05942723697148476,0.04928216454997239
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,Battle Royale,0.000336926617498906,0.027923211169284465,0.017543859649122806,0.23014995083579157,0.08172280508006627
Lichess,Strategy,5.4810013065695626e-05,0.0029086678301337987,0.0,0.02126352015732547,0.02429596907785754
PokÃ©mon VGC,Strategy,0.00012456821151294461,0.004653868528214078,0.0,0.018620943952802362,0.006212037548315848
